Наименование,Код_товара,Производство,Артикул,Цена,Категория_источник
"Маслоприемник ВАЗ 2114, 2115, 2110, 2112, 2109, 2170, Приора,Калина,Веста, металл, 21080-1010010-10",04394,АвтоВаз,21080-1010010-00,730,Автозапчасти ВАЗ
"Маслоприемник ВАЗ 2180, Веста, 845003649",07809,Россия,845003649,740,Автозапчасти ВАЗ
"Маслоприемник ВАЗ 2190, Гранта, 21902-1010010-01",00191,Россия,21902-1010010-01,420,Автозапчасти ВАЗ
"Маховик ВАЗ 2107, 2105, 2104, 2106, 21213, 21010-1005115-00",02340,АвтоВаз,2101-1005115,4100,Автозапчасти ВАЗ
"Маховик ВАЗ 2107, 2105, 2104, 2106, 21213, 21010-1005115-00",07551,Россия,2101-1005115,2230,Автозапчасти ВАЗ
"Маховик ВАЗ 2110, 2111, 2112, 2170, Приора,1118,Калина,2190,Гранта, 21100-1005115-02",05525,Самара,21100-1005115-00,4500,Автозапчасти ВАЗ
"Маховик ВАЗ 2114, 2115, 2109, 21090-1005115-01",05489,АвтоВаз,2108-1005115,5920,Автозапчасти ВАЗ
"Маховик ВАЗ 2114, 2115, 2109, Премиум Деталь, 21090-1005115-01",01518,Россия,2108-1005115,4510,Автозапчасти ВАЗ
"Маховик ВАЗ 2123, 21214, после 2009г, 21230-1005115-00",05558,АвтоВаз,21230-1005115-00-0,8700,Автозапчасти ВАЗ
"Маховик ВАЗ 2123, 21214, после 2009г, 21230-1005115-00",01927,Премиум Деталь,21230-1005115-00-0,4300,Автозапчасти ВАЗ
"Маховик ВАЗ 2170, 2180, Веста, для трос.приводов КПП, 21800-1005115-00",01064,АвтоВаз,21800-1005115-00,7595,Автозапчасти ВАЗ
"Маховик ВАЗ 2180, X-Ray, дв.1,8, 21179, 21176-1005115-00",08335,LADA,21176-1005115-00,5420,Автозапчасти ВАЗ
"Маховик ВАЗ 2190, Гранта, 2180, Веста, для тросовых приводов КПП, 21810-1005115-10",09298,АвтоВаз,21810-1005115-10,5510,Автозапчасти ВАЗ
"Актуатор выбора передач ВАЗ 2180, Веста, 8450077260, 21820170501201",09771,Тольятти,8450077260,63000,Автозапчасти ВАЗ
"Актуатор механизма выключения сцепления ВАЗ 2180, Веста, в сборе, РОБОТ, 21820 16090120, 8450077259",01707,Тольятти,21820-1609012-01,56700,Автозапчасти ВАЗ
"Механизм выбора передач КПП ВАЗ 2114, 2115, 2109, 21099, 5 ст, 21083-1703050-00",06670,АвтоВаз,21083-1703050-00,4360,Автозапчасти ВАЗ
"Механизм выбора передач КПП ВАЗ 2170, 1118,Калина,2190,Гранта, 5 ст, 11190-1703050",00226,Тольятти,11190-1703050-00,3340,Автозапчасти ВАЗ
"Механизм выбора передач КПП трос. ВАЗ 2190, 21810-1702012-00, 8450060616",03559,АвтоВаз,8450060616,11550,Автозапчасти ВАЗ
"Микроредуктор отопителя ВАЗ 1118, Калина, 1117, 1119, 11180-8127200",00027,Россия,11180-8127200-01,1560,Автозапчасти ВАЗ
"Микроредуктор отопителя ВАЗ 2110, 2111, 2112, группа ОМЕГА, 21100-8127200-10",04645,Россия,21100-8127200-10,1420,Автозапчасти ВАЗ
"Микроредуктор отопителя ВАЗ 2110, 2111, 2112, нов/об, 21100-8127200-10",03323,Россия,21100-8127200-10-,1495,Автозапчасти ВАЗ
"Микроредуктор отопителя ВАЗ 2110, 2111, 2112, стар/об, МРЗО01, 21100-8127200-12",00216,Россия,21100-8127200-01,2220,Автозапчасти ВАЗ
"Микроредуктор отопителя ВАЗ 2170, Приора, 2171, 2172, 21700-8127100-00",04698,Россия,21700-8127100-00,2100,Автозапчасти ВАЗ
"Микроредуктор отопителя ВАЗ 2190, Гранта, Приора, с кондиционером, 21900-8127200-10",02149,Россия,21900-8127200-10,2800,Автозапчасти ВАЗ
"Микроредуктор отопителя Ларгус, VALEO, 271209465R",08917,VALEO,271209465R,1770,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 1118, Калина, 1117, 1119, 2-кн. с блокировкой, 11180-3709810-10",07421,Россия,11180-3709810-10,1690,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 1118, Калина, электростеклопод. 2 дв.,упр.зеркал.,37476, 11180-3709810-00",09735,Россия,11180-3709810-10-,1270,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2170, Приора, 2171, 2172, (2клав+ блокир.дверей), 21700 3763075 00",02587,ЗавГар,21700-3763075-00,5690,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2170, Приора, 2171, 2172, (4клав+ уп.зеркал+ блок.),ЛЮКС, 21700-3763080-10",02121,ЗавГар,21700-3763080-10,5690,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2180, Веста, (4клав+ уп.зеркал+ блокир.дверей), ЛЮКС, 8450006933",09924,Россия,8450006933,1900,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2180, Веста, (4клав+ уп.зеркал+ блокир.дверей+склад.зер), ЛЮКС, 8450031530",05532,Россия,8450031530,1880,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2180, Веста, 2кнопки, Авар, 8450006931",03459,Россия,8450006931,1040,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2180, Веста, регулировка зеркал, 2кнопки, Авар, 62.3769-10, 8450006932",01156,Россия,8450006932,2680,Автозапчасти ВАЗ
"Модуль двери водителя ВАЗ 2190, Гранта, 21214, Урбан, нов/об, 21950-3709810",07553,Россия,8450100633,1480,Автозапчасти ВАЗ
"Молдинг бампера ВАЗ 2180, Веста NG CROSS, переднего, 4шт, ЗАВОД, 21800-84500400-50/51/41565/41566",08420,Тольятти,21800-84500400-50,8050,Автозапчасти ВАЗ
"Молдинг бампера ВАЗ 2180, Веста NG, переднего, 4шт, ЗАВОД, 21800-84500400-50/51/52/53",08419,Тольятти,21800-84500400-50,8760,Автозапчасти ВАЗ
"Молдинг решетки бампера X-Ray, 4шт, 620873513R",04771,Сызрань,620873513R,7160,Автозапчасти ВАЗ
"Молдинг решетки бампера ВАЗ 2180, Веста NG, переднего, 4шт, ЗАВОД, 21800-84500414-96/97/98/99",08425,Тольятти,21800-84500414-96,2620,Автозапчасти ВАЗ
"Молдинг решетки бампера ВАЗ 2180, Веста, 8450008667",09443,Сызрань,8450008667,1480,Автозапчасти ВАЗ
"Молдинг решетки бампера ВАЗ 2190, Гранта, нов/об, с 2018г., хром, 8450100990(91)(92)(93)",02813,АвтоВаз,8450100990,3500,Автозапчасти ВАЗ
"Молдинг решетки радиатора ВАЗ 2170, Приора, 2171, 2172, нов/об, 21704-2803242-00",01901,Сызрань,21704-2803242-00,1490,Автозапчасти ВАЗ
"Молдинг решетки радиатора ВАЗ 2180, Веста, верхняя, 2шт, 8450008669(70)",04781,АвтоВаз,8450008669,2860,Автозапчасти ВАЗ
"Молдинг решетки радиатора ВАЗ 2180, Веста, нижняя, 2шт, 8450008924(3)",04563,АвтоВаз,8450008924,2250,Автозапчасти ВАЗ
"Молдинг решетки радиатора ВАЗ 2190, Гранта, хром, 2190-2803242",08499,Сызрань,21900-2803242-00,1730,Автозапчасти ВАЗ
"Молдинг решетки радиатора ВАЗ 2192, Калина 2, 21920-2803052-00",08817,Сызрань,21920-2803052-00,1250,Автозапчасти ВАЗ
"Молдинг решетки радиатора Ларгус, СЭД, 8450000246",09505,Россия,8450000246,750,Автозапчасти ВАЗ
"Молдинг решетки радиатора Ларгус, УЦЕНКА, 8450000246",02777,Сызрань,8450000246,600,Автозапчасти ВАЗ
"Молдинг глухого стекла ВАЗ 21213, Нива, 21214, LADA4x4, 2121-5403124",08639,АвтоВаз,2121-5403124,1370,Автозапчасти ВАЗ
"Молдинг двери ВАЗ 2114, 2115, 6 частей, штатный, широкие, 2114-8212154/55/44/45/34",00599,Сызрань,21140-8212135-10-,1470,Автозапчасти ВАЗ
"Молдинг двери ВАЗ 2114, 2115, нов/об, 2114-8212154/55/44/45/34",04729,Сызрань,21140-8212135-10,1220,Автозапчасти ВАЗ
"Молдинг двери ВАЗ 2170, Приора, завод, 21700 8212140 00",00985,Тольятти,21700-8212140-00,1800,Автозапчасти ВАЗ
"Молдинг двери ВАЗ 2190, Гранта, резиновые, 21900-8212140-00, 8212141, /50/51",05989,Россия,21920-8212141-00,1500,Автозапчасти ВАЗ
"Молдинг двери Ларгус, задний, левый, с пистонами, 6001549297",02200,Россия,6001549297,995,Автозапчасти ВАЗ
"Молдинг двери Ларгус, задний, правый, с пистонами, 6001549296",02204,Россия,6001549296,1070,Автозапчасти ВАЗ
"Молдинг двери Ларгус, передний, левый, с пистонами, 6001549298",02217,Россия,6001549298,995,Автозапчасти ВАЗ
"Молдинг двери Ларгус, передний, правый, с пистонами, 6001549299",02254,Россия,6001549299,1070,Автозапчасти ВАЗ
"Молдинг кузова ВАЗ 2103, 2106, хром, 2103-5003006",08693,Сызрань,2103-5003006,1310,Автозапчасти ВАЗ
"Молдинг стекла двери ВАЗ 21213, Нива,  LADA4x4, 21214-6103473",08659,Россия,21213-6103473,1370,Автозапчасти ВАЗ
"Молдинг капота ВАЗ 2170, Приора, 2171, 2172, никель, 2170-8402104-10",07103,Сызрань,21700-8402104-00,1595,Автозапчасти ВАЗ
"Молдинг капота ВАЗ 2170, Приора, 2171, 2172, пластик, хром, 2170-8402104-00",04782,Россия,21700-8402104-00,500,Автозапчасти ВАЗ
"Чулок заднего моста ВАЗ 2107, 2105, 2104, 2106, чулок, 2101-2401010-01",00432,АвтоВаз,2101-2401010-01,13500,Автозапчасти ВАЗ
"Чулок заднего моста ВАЗ 21213, Нива, чулок, стар/об, 21213-2401010-00",04444,АвтоВаз,21213-2401010-00,20010,Автозапчасти ВАЗ
"Чулок заднего моста ВАЗ 21214, 2123, голый, под ABS, 21214-2401010-10",03201,АвтоВаз,21214-2401010-10,26450,Автозапчасти ВАЗ
"Чулок заднего моста ВАЗ 21214, LADA4x4, чулок, нов/об, 212134240101000",01303,АвтоВаз,2120-2401010,23370,Автозапчасти ВАЗ
"Чулок заднего моста ВАЗ 2123, чулок, 21230-2401010-00-0",02172,АвтоВаз,21230-2401010-00-0,26450,Автозапчасти ВАЗ
"Мотор радиатора кондиционера ВАЗ 1118, Калина, 1117,1119,2170,2171,2172, Panasonic, в сборе, 8112030",06639,Россия,21700-8112030-00,3900,Автозапчасти ВАЗ
"Мотор радиатора кондиционера ВАЗ 2190, Гранта, 2192, Калина 2, 2190-8112030-11",05852,АвтоВаз,21900-8112030-11,5350,Автозапчасти ВАЗ
Мотор омывателя X-Ray 289209776R,06731,STARTVOLT,289209776R,1290,Автозапчасти ВАЗ
"Мотор омывателя ВАЗ 2101-07,Волга, в сборе, 12В, 21210 5208009",00401,Россия,2121-5208009,440,Автозапчасти ВАЗ
"Мотор омывателя ВАЗ 2107, 21213, 2108, 2110, 1118, Калина, 2170, Приора, 2190, Гранта, н/о, 99.3730",01397,Россия,21080-5208009-26,250,Автозапчасти ВАЗ
"Мотор омывателя ВАЗ 2180,Веста, Startvolt, 8450008573",00902,Startvolt,8450008573,400,Автозапчасти ВАЗ
"Мотор омывателя Ларгус с двумя выходами, 6001549444",08918,HOFER,289106288R,400,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 1118, Калина, 1117, 1119, 2123, HOFER, 11180-1300025-01",04191,HOFER,11180-1300025-01,3410,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 1118, Калина, 1117, 1119, 2123, LUZAR, 21230-1308008-01-0",04931,LUZAR,21230-1308008-00-0,4760,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 1118, Калина, 1117, 1119, в сборе, 11180-1300025-10",05601,BAUTLER,11180-1300025-00,5200,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 2107, 2105, 2114, 2115, 2110, 2112, 2109, в сборе, 2103-1308008",04678,Россия,2103-1308008-01,3590,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 21214, Нива УРБАН, евроразъем, в сборе, 21214-3730010-41",08469,Россия,,8230,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 21214, Нива,  LADA4x4, в сборе, 21214-3730010-41",07692,Россия,21214-1300024-41-,6770,Автозапчасти ВАЗ
"Мотор охлаждения двигателя ВАЗ 21214, Нива,  LADA4x4, голый, 21214-1308008-41",06548,Россия,21214-1300024-41,3500,Автозапчасти ВАЗ
